"id","name","slug","abbrev","level","parent"
302,South Carolina,south-carolina,SC,s,10
303,South Dakota,south-dakota,SD,s,10
304,West Virginia,west-virginia,WV,s,10
305,Wyoming,wyoming,WY,s,10
306,Allegheny County,allegheny-county,,l,126
307,Sacramento,sacramento,,l,52
308,East Lansing,east-lansing,,l,117
309,Lacey,lacey,,l,54
310,Lansing,lansing,,l,117
311,Canby,canby,,l,158
312,Oconee County,oconee-county,,l,302
313,Gwinnett County,gwinnett-county,,l,230
314,Detroit,detroit,,l,117
315,Baltimore,baltimore,,l,154
316,Nassau County,nassau-county,,l,16
317,Las Vegas,las-vegas,,l,301
318,Dover,dover,,l,1
319,Memphis,memphis,,l,155
320,Milwaukee,milwaukee,,l,146
321,Honolulu,honolulu,,l,247
322,Baltimore County,baltimore-county,,l,154
323,Columbus,columbus,,l,116
324,San Antonio,san-antonio,,l,109
325,Atlanta,atlanta,,l,230
326,Jacksonville,jacksonville,,l,34
327,Cleveland,cleveland,,l,116
328,Prince George's County,prince-georges-county,,l,154
329,New Orleans,new-orleans,,l,233
330,Fort Worth,fort-worth,,l,109
331,Kansas City,kansas-city,,l,299
332,Ashland,ashland,,l,1
333,Brockton,brockton,,l,1
334,Chelsea,chelsea,,l,1
335,Newark,newark,,l,229
336,San Jose,san-jose,,l,52
337,St. Louis,st-louis,,l,299
338,Montgomery County,montgomery-county,,l,154
339,El Paso,el-paso,,l,109
340,Cincinnati,cincinnati,,l,116
341,Oklahoma City,oklahoma-city,,l,248
342,Tampa,tampa,,l,34
343,Albuquerque,albuquerque,,l,227
344,Wake County,wake-county,,l,153
345,Durham County,durham-county,,l,153
346,Raleigh,raleigh,,l,153
347,Garner,garner,,l,153
348,Lawrence,lawrence,,l,1
349,Medford,medford,,l,1
350,Norwood,norwood,,l,1
351,Southbridge,southbridge,,l,1
352,Wakefield,wakefield,,l,1
353,West Springfield,west-springfield,,l,1
354,Gaston County,gaston-county,,l,153
355,La Plata,la-plata,,l,154
356,Bastrop County,bastrop-county,,l,109
357,Charles County,charles-county,,l,154
358,Los Angeles County,los-angeles-county,,l,52
359,Salt Lake City,salt-lake-city,,l,234
360,Orange County,orange-county,,l,16
361,La Plata County,la-plata-county,,l,127
362,Durango,durango,,l,127
363,Grand Forks County,grand-forks-county,,l,232
364,Aurora,aurora,,l,127
365,Cook County,cook-county,,l,168
366,Stark County,stark-county,,l,168
367,Stark County,stark-county,,l,116
368,Placerville,placerville,,l,52
369,Westerly,westerly,,l,82
370,Independence,independence,,l,299
371,Larimer County,larimer-county,,l,127
372,Lewis County,lewis-county,,l,54
373,Wallowa County,wallowa-county,,l,158
374,El Dorado,el-dorado,,l,111
375,Everett,everett,,l,1
376,Mchenry,mchenry,,l,168
377,Hayward,hayward,,l,52
378,Fulton County,fulton-county,,l,114
379,Fort Wayne,fort-wayne,,l,152
380,Grand Forks,grand-forks,,l,232
381,Manalapan,manalapan,,l,229
382,Hillsborough County,hillsborough-county,,l,34
383,Hennepin County,hennepin-county,,l,156
384,Woodbridge,woodbridge,,l,229
385,Northampton,northampton,,l,1
386,Columbia,columbia,,l,302
387,Broward County,broward-county,,l,34
388,Redwood,redwood,,l,52
389,Bloomington,bloomington,,l,156
390,Logan,logan,,l,234
391,Grand Rapids,grand-rapids,,l,156
392,Clark County,clark-county,,l,301
393,Harris County,harris-county,,l,109
394,Orange County,orange-county,,l,52
395,Riverside,riverside,,l,52
397,Sacramento County,sacramento-county,,l,52
398,Greer,greer,,l,302
399,Van Wert County,van-wert-county,,l,116
400,Hall County,hall-county,,l,230
401,Carol Stream,carol-stream,,l,168
402,Bellevue,bellevue,,l,54
403,Springfield,springfield,,l,299
404,Marina,marina,,l,52
405,Lawton,lawton,,l,248
406,Montgomery County,montgomery-county,,l,128
407,Russell County,russell-county,,l,128
408,Pinal County,pinal-county,,l,78
409,Bentonville,bentonville,,l,114
410,Prince William County,prince-william-county,,l,128
411,Chesterfield County,chesterfield-county,,l,128
412,Loudoun County,loudoun-county,,l,128
413,Henrico County,henrico-county,,l,128
414,Norfolk County,norfolk-county,,l,128
415,Arlington County,arlington-county,,l,128
416,Chesapeake City,chesapeake-city,,l,154
417,Lexington,lexington,,l,1
418,Clay County,clay-county,,l,34
419,Barrington,barrington,,l,168
420,Newtown,newtown,,l,53
425,Hazelton,hazelton,,l,126
426,Ascension Parish,ascension-parish,,l,233
427,Bossier Parish,bossier-parish,,l,233
428,Caddo Parish,caddo-parish,,l,233
429,Calcasieu Parish,calcasieu-parish,,l,233
430,East Baton Rouge Parish,east-baton-rouge-parish,,l,233
431,Jefferson Parish,jefferson-parish,,l,233
432,Lafayette Parish,lafayette-parish,,l,233
433,Livingston Parish,livingston-parish,,l,233
434,Orleans Parish,orleans-parish,,l,233
435,Ouachita Parish,ouachita-parish,,l,233
436,Rapides Parish,rapides-parish,,l,233
437,Saint Tammany Parish,saint-tammany-parish,,l,233
438,Terrebonne Parish,terrebonne-parish,,l,233
439,Accomack County,accomack-county,,l,128
440,Albemarle County,albemarle-county,,l,128
441,Alleghany County,alleghany-county,,l,128
442,Acton,acton,,l,1
