"id","name","slug","status","exempt","requires_proxy","jurisdiction","parent","appeal_agency"
37441,West Suburban Consolidated Dispatch Center In River Forest,west-suburban-consolidated-dispatch-center-in-river-forest,approved,False,False,168,,
23769,L.a. Care Health Plan,la-care-health-plan,approved,False,False,91,,
38580,City of Butler Police Department,butler-city-police-department,approved,False,False,27548,,
23790,County Clerk,county-clerk,approved,False,False,30770,,
5668,Miami-Dade County Public Works and Waste Management,public-works-and-waste-management,approved,False,False,7318,,
23793,City Of Fort Lauderdale Sustainable Development,city-of-fort-lauderadale-sustainable-development,approved,False,False,104,,
23648,Office Of The Waterfront And Civic Projects,office-of-the-waterfront-and-civic-projects,approved,False,False,69,,
23755,Louisville Metro Government FOIA,louisville-metro-government,approved,False,False,209,,
4583,Office of the Governor of the U.S. Virgin Islands,office-governor-us-virgin-islands,approved,False,False,33641,,
279,University of Arizona,university-of-arizona,approved,False,False,78,,
11171,Glenn County Sheriff,glenn-county,approved,False,False,3038,,
42593,Windsor Heights Town Clerk,windsor-heights-town-clerk,approved,False,False,32160,,
6346,Department of Adult and Juvenile Detention,department-of-adult-and-juvenile-detention,approved,False,False,73,,
42913,Washington State Bar Association,washington-state-bar-association,approved,False,False,54,,
43022,"Nebraska Legislature, Office Of Senator Brian Hardin",nebraska-legislature-office-of-senator-brian-hardin,approved,False,False,300,,
5805,KIPP Academy Boston Elementary and Middle Schools,kipp-academy-boston-elementary-and-middle-schools,approved,False,False,3,,
4288,Office of the Mayor & City Commission - Fort Lauderdale,office-mayor-city-commission-fort-lauderdale,approved,False,False,104,,
83,Department of Treasury,department-of-treasury,approved,False,False,10,,7822
6235,U.S. Marine Corps Entertainment Media Liaison Office,us-marine-corps-motion-picture-tv-liaison-office,approved,False,False,10,,
23597,Information Services,information-services,approved,False,False,4033,,
23810,Bureau Of Indian Education,bureau-of-indian-education,approved,False,False,10,,
23649,Department Of Public Works,department-of-public-works,approved,False,False,258,,
23666,Melrose Park Police Department,melrose-park-police-department,approved,False,False,8143,,
5086,U.S. Army - Fort Stewart - Third Infantry Division,us-army-fort-stewart-third-infantry-division,approved,False,False,10,,
11393,Sullivan County Sheriff,sullivan-county-sheriff,approved,False,False,29,,
6159,Washington County District Attorney's Office,washington-county-district-attorneys-office,approved,False,False,7349,,
23747,Clermont County Sheriff,clermont-county-sheri,approved,False,False,25142,,
14,U.S. Department of State,department-of-state,approved,False,False,10,,6565
37,John F. Kennedy Presidential Library & Museum,john-f-kennedy-presidential-library-museum,approved,False,False,10,,
23761,Dmhas,dmhas,approved,False,False,97,,
23762,"Department of Mental Health and Addiction Services, Middletown Ct",dmhas-middletown-ct,approved,False,False,5529,,
5557,New York State Commission on Judicial Conduct,new-york-state-commission-on-judicial-conduct,approved,False,False,16,,
23791,"Fbi Louisville, Ky Field Office",fbi-louisville-ky-field-office,approved,False,False,209,,
23735,Cook County Department Of Public Health,cook-county-department-of-public-health,approved,False,False,365,,
5578,"Department of Commerce, Community and Economic Development",department-of-commerce-community-and-economic-development,approved,False,False,235,,
9890,"Department of State Bureau of Democracy, Human Rights and Labor",department-of-state-bureau-of-democracy-human-rights-and-labor,approved,False,False,10,,
23799,Calumet County Sheriff's Department,calumet-county-sheriffs-department,approved,False,False,8585,,
6221,Town Manager,town-manager,approved,False,False,8893,,
6222,Finance Department,finance-department,approved,False,False,2883,,
23803,"District Court of Maryland, Carroll County",district-court-westminster,approved,False,False,154,,
17711,Suffolk County Water Authority,suffolk-county-water-authority,approved,False,False,297,,
23825,Akron Public Schools,akron-public-schools,approved,False,False,206,,
38578,Marion Police Department Wi,marion-police-department-wi,approved,False,False,8732,,
23598,Transportation And Utilities,transportation-and-utilities,approved,False,False,4033,,
169,Office of Temporary and Disability Assistance,office-of-temporary-and-disability-assistance,approved,False,False,16,,
31097,Papillion La Vista Community Schools,papillion-la-vista-community-schools,approved,False,False,21557,,
23667,Lake Delton Police Department,lake-delton-police-department,approved,False,False,32680,,
23779,Appleton Area School District,aasd,approved,False,False,32601,,
23795,Douglas County Water and Sewer Authority Board,douglas-county-ga-water-and-sewer,approved,False,False,4881,,
23808,Coconino County Health And Human Services,coconino-county-health-and-human-services,approved,False,False,9521,,
4233,California Department of Food and Agriculture,california-department-food-and-agriculture,approved,False,False,52,,
40768,Barbour County Clerk Office,barbour-county-clerk-office,approved,False,False,32092,,
22392,Falmouth Police Department,falmouth-police-department,approved,False,False,517,,
14478,Bond County Sheriff's Office,bond-county-sheriffs-office-bond-county,approved,False,False,7355,,
31095,Village Of Dolton Clerk,village-of-dolton,approved,False,False,7736,,
10972,Defense Manpower Data Center,defense-manpower-data-center,approved,False,False,10,,
23580,Public Works Department,public-works-department,approved,False,False,94,,
23834,Ruston Police Department,ruston-police-department,approved,False,False,16281,,
23837,Calloway County,calloway-county,approved,False,False,15554,,
190,Mayor's Office of Media and Entertainment,mayors-office-of-media-and-entertainment,approved,False,False,17,,
23830,Fairmont Police Department,fairmont-police-department,approved,False,False,32246,,
37442,Proviso Central Dispatch Center In Hillside,proviso-central-dispatch-center-in-hillside,approved,False,False,7940,,
41681,Ohio Department Of Insurance,ohio-department-of-insurance,approved,False,False,116,,
5207,Hobbs Police Department,hobbs-police-department,approved,False,False,22204,,
24683,Lewiston Police Department,lewiston-police-department,approved,False,False,6246,,
23817,Bend Police Department,bend-police-department,approved,False,False,6537,,
42254,New York State Commission On Prosecutorial Conduct,new-york-state-commission-on-prosecutorial-conduct,approved,False,False,16,,
42594,City of Winfield Municipal Clerk,city-of-winfield-municipal-clerk,approved,False,False,32320,,
23581,Information Technology Services,information-technology-services,approved,False,False,94,,
23668,Greenville County Sheriff's Office,greenville-county-sheriffs-office,approved,False,False,2032,,
23835,Kittitas County Sheriff,kittitas-county-sheriff,approved,False,False,8351,,
23758,Department Of Housing Stability,department-of-housing-stability,approved,False,False,145,,
23853,Illinois Department Of Human Rights,illinois-department-of-human-rights,approved,False,False,168,,
23838,Dover Police Department,dover-police-department,approved,False,False,3855,,
